gamma_        0.97,gamma_        0.95,gamma_         0.9,gamma_        0.87,gamma_        0.85,gamma_         0.8,gamma_        0.75,gamma_         0.7,
   33.333338,   20.000000,   10.000000,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.333345,   20.000000,   10.000000,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.333360,   20.000001,   10.000000,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.333392,   20.000003,   10.000000,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.333613,   20.000031,   10.000000,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.334265,   20.000062,   10.000000,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.335257,   20.000118,   10.000000,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.338843,   20.000448,   10.000002,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.348760,   20.001573,   10.000010,    7.692315,    6.666667,    5.000000,    4.000000,    3.333333,
   33.374787,   20.002981,   10.000064,    7.692363,    6.666667,    5.000000,    4.000000,    3.333333,
   33.456018,   20.011805,   10.000387,    7.693078,    6.666667,    5.000000,    4.000000,    3.333333,
   33.693408,   20.045906,   10.003770,    7.696977,    6.666667,    5.000000,    4.000000,    3.333333,
   34.415147,   20.196517,   10.063312,    7.753842,    6.666667,    5.000000,    4.000000,    3.333333,
   36.614967,   20.795549,   11.059436,    8.123180,    6.666667,    5.000000,    4.000000,    3.333333,
   53.247166,   23.231266,  332.522578,  297.251130,    6.666667,    5.000000,    4.000000,    3.333333,
  548.959978,  202.827799,            ,            ,    6.666667,    5.000000,    4.000000,    3.333333,
            ,  443.391485,            ,            ,    6.666667,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,    6.666667,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,    6.666673,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,    6.666707,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,    6.667370,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,    6.675748,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,    6.942277,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,  279.189892,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000000,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000001,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000013,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.000372,    3.333333,
            ,            ,            ,            ,            ,    5.000000,    4.005089,    3.333333,
            ,            ,            ,            ,            ,    5.000000,   46.812529,    3.333333,
            ,            ,            ,            ,            ,    5.000000,  220.427013,    3.333333,
            ,            ,            ,            ,            ,    5.000000,            ,    3.333333,
            ,            ,            ,            ,            ,    5.000000,            ,    3.333333,
            ,            ,            ,            ,            ,    5.000002,            ,    3.333333,
            ,            ,            ,            ,            ,    5.000117,            ,    3.333333,
            ,            ,            ,            ,            ,    5.000438,            ,    3.333333,
            ,            ,            ,            ,            ,    5.007138,            ,    3.333333,
            ,            ,            ,            ,            ,    5.080708,            ,    3.333333,
            ,            ,            ,            ,            ,   60.781837,            ,    3.333333,
            ,            ,            ,            ,            ,  245.069289,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333333,
            ,            ,            ,            ,            ,            ,            ,    3.333334,
            ,            ,            ,            ,            ,            ,            ,    3.333422,
            ,            ,            ,            ,            ,            ,            ,    3.334844,
            ,            ,            ,            ,            ,            ,            ,   17.368207,
            ,            ,            ,            ,            ,            ,            ,  201.395584,
            ,            ,            ,            ,            ,            ,            ,            ,
